,0,1
002f9477abcbab39650ed3f9bd78f55169ff133c455d37bb52201a21d4ec9ee6,1.3213347,-1.3315215
0033fb63c6d29b53ca32f24fa37507206d830968d56d8bfe5b006fc79d03052c,1.7763994,-2.0037913
003534817a2d3cb850f750e0f0119eb7ef3a230a309514397f07907bd4da2f66,1.3116935,-1.2066107
003ab99f7f7d48ca07f55323263819a6c7e105c9b6b1f6caf4b5257c72a215c3,1.2018557,-1.1478715
00543740d6c3675d5a8d669d833111652dd347c42011022529c928ffa2ec541f,1.3913918,-1.5703135
005752f2724cdb1f7dcac25c045607068f519418ec78484cdc4a45884d44e8a7,1.3306742,-1.360503
0064d23c907c96ecff9ebfe21850250483f87038d62ec5d79ff7951ae223f572,0.42441672,0.019010305
00688b0305caad380ea849177259c54a5e9c2bd3c5067eb63d8560383927f754,1.0878545,-0.90714884
006fcc8680f5e0a374bb79efdfb1bfc9f44390aa9708e9b50c551c4c700021d9,1.5327824,-1.5854392
007b88e446d48a2abe46f1e98710c4281910eb920d866d7546804689ad7a68b5,1.0800375,-0.95405984
009fad6c506f1154fbc5ab0ca714abe5a9c79d8422b1866fc03266976ae43cf3,1.2593293,-1.227407
00abc0acaa0b6d24ee4cf00b7ed1cbda2d9fbaf89b056c621204ede40dd23f3d,0.6917857,-0.3212422
00b93a13240d56c20500217b628279985735c1a23e201bd0e06f91e5453136a2,0.99933743,-0.79425573
00be6a9ac93fc6ce699d2d4a58a4805e6bece48b4a77c120ccf40fb70535f268,0.7288326,-0.49821246
00c5dd31bfda080f52ed0cfc47440d966057ecf887f02fc0cae97fcb392de351,1.2594736,-1.4020894
00cd456b97029966f53f19aaa6119263e94e1ae6ba152edb1e1f6a4b80447054,1.3975362,-1.4804399
00cfe4ba9d4d99b68e976ffd938d260798d521174a5c1b15a283763f57a53163,1.4814253,-1.9861741
00d0eeed46a26a2b97a5d7f280182754a2194703c713f86a3dde8e12b7d95ae1,1.2662914,-1.1484771
00d319428a8918b6a876c42bab87b9e2e4d6fc92c7223b267b2628f620b84959,1.2948179,-1.2237144
00f4ec3953f8d87b24cdef90d59e9110fc4fc1d1c150310e9e6d6d408be30439,1.1617945,-0.86357975
